word,phrase_type,range,official_write,training_include,write_priority,level_label,topic,special_type,source
juice,word,Pre A1 Starters + A1 Movers + A2 Flyers,no,yes,core,核心（core）,food,,Cambridge combined alphabetic vocabulary list (2025 PDF)
July,word,Pre A1 Starters + A1 Movers + A2 Flyers,no,yes,core,核心（core）,time,,Cambridge combined alphabetic vocabulary list (2025 PDF)
jump,word,Pre A1 Starters + A1 Movers + A2 Flyers,no,yes,core,核心（core）,actions,,Cambridge combined alphabetic vocabulary list (2025 PDF)
June,word,Pre A1 Starters + A1 Movers + A2 Flyers,no,yes,core,核心（core）,time,,Cambridge combined alphabetic vocabulary list (2025 PDF)
kangaroo,word,Pre A1 Starters + A1 Movers + A2 Flyers,no,yes,core,核心（core）,animals,,Cambridge combined alphabetic vocabulary list (2025 PDF)
Katy,word,Pre A1 Starters + A1 Movers + A2 Flyers,yes,yes,must_write,必写（must_write）,general,official_write,Cambridge combined alphabetic vocabulary list (2025 PDF)
key,word,Pre A1 Starters + A1 Movers + A2 Flyers,no,yes,extended,扩展（extended）,general,,Cambridge combined alphabetic vocabulary list (2025 PDF)
kid,word,Pre A1 Starters + A1 Movers + A2 Flyers,no,yes,extended,扩展（extended）,general,,Cambridge combined alphabetic vocabulary list (2025 PDF)
kilometre (US kilometer),phrase,Pre A1 Starters + A1 Movers + A2 Flyers,no,yes,tricky,易错（tricky）,general,,Cambridge combined alphabetic vocabulary list (2025 PDF)
kitchen,word,Pre A1 Starters + A1 Movers + A2 Flyers,no,yes,core,核心（core）,places,,Cambridge combined alphabetic vocabulary list (2025 PDF)
kitten,word,Pre A1 Starters + A1 Movers + A2 Flyers,no,yes,core,核心（core）,animals,,Cambridge combined alphabetic vocabulary list (2025 PDF)
know,word,Pre A1 Starters + A1 Movers + A2 Flyers,no,yes,extended,扩展（extended）,general,,Cambridge combined alphabetic vocabulary list (2025 PDF)
lake,word,Pre A1 Starters + A1 Movers + A2 Flyers,no,yes,extended,扩展（extended）,general,,Cambridge combined alphabetic vocabulary list (2025 PDF)
language,word,Pre A1 Starters + A1 Movers + A2 Flyers,no,yes,core,核心（core）,school,,Cambridge combined alphabetic vocabulary list (2025 PDF)
learn,word,Pre A1 Starters + A1 Movers + A2 Flyers,no,yes,core,核心（core）,actions,,Cambridge combined alphabetic vocabulary list (2025 PDF)
leg,word,Pre A1 Starters + A1 Movers + A2 Flyers,no,yes,extended,扩展（extended）,general,,Cambridge combined alphabetic vocabulary list (2025 PDF)
lemonade,word,Pre A1 Starters + A1 Movers + A2 Flyers,no,yes,core,核心（core）,food,,Cambridge combined alphabetic vocabulary list (2025 PDF)
lesson,word,Pre A1 Starters + A1 Movers + A2 Flyers,no,yes,extended,扩展（extended）,general,,Cambridge combined alphabetic vocabulary list (2025 PDF)
let,word,Pre A1 Starters + A1 Movers + A2 Flyers,no,yes,extended,扩展（extended）,general,,Cambridge combined alphabetic vocabulary list (2025 PDF)
library,word,Pre A1 Starters + A1 Movers + A2 Flyers,no,yes,core,核心（core）,places,,Cambridge combined alphabetic vocabulary list (2025 PDF)
like,word,Pre A1 Starters + A1 Movers + A2 Flyers,no,yes,extended,扩展（extended）,general,,Cambridge combined alphabetic vocabulary list (2025 PDF)
line,word,Pre A1 Starters + A1 Movers + A2 Flyers,no,yes,extended,扩展（extended）,general,,Cambridge combined alphabetic vocabulary list (2025 PDF)
lion,word,Pre A1 Starters + A1 Movers + A2 Flyers,no,yes,core,核心（core）,animals,,Cambridge combined alphabetic vocabulary list (2025 PDF)
listen,word,Pre A1 Starters + A1 Movers + A2 Flyers,no,yes,core,核心（core）,actions,,Cambridge combined alphabetic vocabulary list (2025 PDF)
live,word,Pre A1 Starters + A1 Movers + A2 Flyers,no,yes,extended,扩展（extended）,general,,Cambridge combined alphabetic vocabulary list (2025 PDF)
lizard,word,Pre A1 Starters + A1 Movers + A2 Flyers,no,yes,core,核心（core）,animals,,Cambridge combined alphabetic vocabulary list (2025 PDF)
long,word,Pre A1 Starters + A1 Movers + A2 Flyers,no,yes,extended,扩展（extended）,general,,Cambridge combined alphabetic vocabulary list (2025 PDF)
look,word,Pre A1 Starters + A1 Movers + A2 Flyers,no,yes,core,核心（core）,actions,,Cambridge combined alphabetic vocabulary list (2025 PDF)
look after,phrase,Pre A1 Starters + A1 Movers + A2 Flyers,no,yes,core,核心（core）,actions,,Cambridge combined alphabetic vocabulary list (2025 PDF)
look like,phrase,Pre A1 Starters + A1 Movers + A2 Flyers,no,yes,core,核心（core）,actions,,Cambridge combined alphabetic vocabulary list (2025 PDF)
low,word,Pre A1 Starters + A1 Movers + A2 Flyers,no,yes,extended,扩展（extended）,general,,Cambridge combined alphabetic vocabulary list (2025 PDF)
make,word,Pre A1 Starters + A1 Movers + A2 Flyers,no,yes,core,核心（core）,actions,,Cambridge combined alphabetic vocabulary list (2025 PDF)
many,word,Pre A1 Starters + A1 Movers + A2 Flyers,no,yes,extended,扩展（extended）,general,,Cambridge combined alphabetic vocabulary list (2025 PDF)
map,word,Pre A1 Starters + A1 Movers + A2 Flyers,no,yes,extended,扩展（extended）,general,,Cambridge combined alphabetic vocabulary list (2025 PDF)
March,word,Pre A1 Starters + A1 Movers + A2 Flyers,no,yes,core,核心（core）,time,,Cambridge combined alphabetic vocabulary list (2025 PDF)
market,word,Pre A1 Starters + A1 Movers + A2 Flyers,no,yes,core,核心（core）,places,,Cambridge combined alphabetic vocabulary list (2025 PDF)
mat,word,Pre A1 Starters + A1 Movers + A2 Flyers,no,yes,extended,扩展（extended）,general,,Cambridge combined alphabetic vocabulary list (2025 PDF)
May,word,Pre A1 Starters + A1 Movers + A2 Flyers,no,yes,core,核心（core）,time,,Cambridge combined alphabetic vocabulary list (2025 PDF)
me,word,Pre A1 Starters + A1 Movers + A2 Flyers,no,yes,extended,扩展（extended）,general,,Cambridge combined alphabetic vocabulary list (2025 PDF)
meal,word,Pre A1 Starters + A1 Movers + A2 Flyers,no,yes,core,核心（core）,food,,Cambridge combined alphabetic vocabulary list (2025 PDF)
medicine,word,Pre A1 Starters + A1 Movers + A2 Flyers,no,yes,tricky,易错（tricky）,general,,Cambridge combined alphabetic vocabulary list (2025 PDF)
Michael,word,Pre A1 Starters + A1 Movers + A2 Flyers,yes,yes,must_write,必写（must_write）,general,official_write,Cambridge combined alphabetic vocabulary list (2025 PDF)
midday,word,Pre A1 Starters + A1 Movers + A2 Flyers,no,yes,core,核心（core）,time,,Cambridge combined alphabetic vocabulary list (2025 PDF)
midnight,word,Pre A1 Starters + A1 Movers + A2 Flyers,no,yes,core,核心（core）,time,,Cambridge combined alphabetic vocabulary list (2025 PDF)
milk,word,Pre A1 Starters + A1 Movers + A2 Flyers,no,yes,core,核心（core）,food,,Cambridge combined alphabetic vocabulary list (2025 PDF)
minute,word,Pre A1 Starters + A1 Movers + A2 Flyers,no,yes,core,核心（core）,time,,Cambridge combined alphabetic vocabulary list (2025 PDF)
mix,word,Pre A1 Starters + A1 Movers + A2 Flyers,no,yes,extended,扩展（extended）,general,,Cambridge combined alphabetic vocabulary list (2025 PDF)
Monday,word,Pre A1 Starters + A1 Movers + A2 Flyers,no,yes,core,核心（core）,time,,Cambridge combined alphabetic vocabulary list (2025 PDF)
monkey,word,Pre A1 Starters + A1 Movers + A2 Flyers,no,yes,core,核心（core）,animals,,Cambridge combined alphabetic vocabulary list (2025 PDF)
monster,word,Pre A1 Starters + A1 Movers + A2 Flyers,no,yes,extended,扩展（extended）,general,,Cambridge combined alphabetic vocabulary list (2025 PDF)
